_id,estStatusDesc,enfrID,inspID,infrTypeCD,postal,rowNo,addr,estName,infrAction,lon,servID,enfrOutcome,unit,infrTypeDesc,enfrAmountFined,inspStatusDesc,enfrOutcomeDate,lat,servTypeCD,inspDate,infrID,addrID,estID,servTypeDesc,estStatusCD
13157706,Pass,,21769027,8513,M6N,2505,1828 ST CLAIR AVE W,CITYLOCK BARBERS,Notice to Comply,-79.4629703,916309,,UNIT-4,Operator fail to post inspection results in accordance with inspector's request. Reg. Sec. 4,,Conditional,,43.67385952,7016,2019-10-18T00:00:00,2208375,3102288,4773684,Barbering & Hairdressing,PASS
13157707,Pass,,21769027,8563,M6N,2506,1828 ST CLAIR AVE W,CITYLOCK BARBERS,Notice to Comply,-79.4629703,916309,,UNIT-4,Personal service setting - fail to ensure single-service hand drying products or hot air dryer in close proximity to handwashing sink. Reg. Para. 6 of subsec. 8 (1),,Conditional,,43.67385952,7016,2019-10-18T00:00:00,2208376,3102288,4773684,Barbering & Hairdressing,PASS
13157708,Pass,,21769027,8564,M6N,2507,1828 ST CLAIR AVE W,CITYLOCK BARBERS,Notice to Comply,-79.4629703,916309,,UNIT-4,Personal service setting - fail to ensure sink capable of immersing largest piece of reusable equipment used at the setting. Reg. Clause 8 (3)(a),,Conditional,,43.67385952,7016,2019-10-18T00:00:00,2208377,3102288,4773684,Barbering & Hairdressing,PASS
13157709,Pass,,21769029,8616,M1V,2508,3376 KENNEDY RD,BELLCO BEAUTY STUDIO,Notice to Comply,-79.30495951,934469,,UNIT-3,Personal service setting - fail to ensure required records kept readily available for required period. Reg. Clause 14 (2)(b),,Conditional,,43.81823512,7022,2019-10-11T00:00:00,2208378,3112092,4363038,Micropigmentation,PASS
13157710,Pass,,21769031,8571,M4W,2509,50 BLOOR ST W,PUREBEAUTY SALON&SPA,Notice to Comply,-79.38831795,962945,,UNIT-S03,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),,Conditional,,43.67038727,7016,2019-10-10T00:00:00,2208379,3127660,4418809,Barbering & Hairdressing,PASS
13157711,Pass,,21769032,8571,M4W,2510,50 BLOOR ST W,PUREBEAUTY SALON&SPA,Notice to Comply,-79.38831795,962946,,UNIT-S03,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),,Conditional,,43.67038727,7017,2019-10-10T00:00:00,2208380,3127660,4418809,Nails,PASS
13157712,Pass,,21769036,8584,M1P,2511,2925 LAWRENCE AVE E,KAIT NAILS SPA,Notice to Comply,-79.532375,967564,,UNIT-104,Personal service setting - single-use instrument not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.69607,7017,2019-10-08T00:00:00,2208381,3129819,4426567,Nails,PASS
13157713,Pass,,21769037,8578,M1P,2512,2925 LAWRENCE AVE E,KAIT NAILS SPA,Notice to Comply,-79.532375,967565,,UNIT-104,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.69607,7018,2019-10-08T00:00:00,2208382,3129819,4426567,Aesthetics,PASS
13157714,Pass,,21871643,8571,M1P,2513,1360 KENNEDY RD,NEW LIFESTYLE HAIR DESIGN,Notice to Comply,-79.27995973,558803,,,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),,Conditional,,43.76183323,7016,2019-10-18T00:00:00,2208383,2908592,3646609,Barbering & Hairdressing,PASS
13157715,Pass,,21871643,8593,M1P,2514,1360 KENNEDY RD,NEW LIFESTYLE HAIR DESIGN,Notice to Comply,-79.27995973,558803,,,Fail to ensure all sharps disposed of immediately after use in sharps container in close proximity to where personal service provided. Reg. Subsec. 10 (7),,Conditional,,43.76183323,7016,2019-10-18T00:00:00,2208384,2908592,3646609,Barbering & Hairdressing,PASS
13157716,Pass,,21871650,8517,M1H,2515,1031 MARKHAM RD,DIANA BEAUTY CENTRE,Notice to Comply,-79.23050693,833339,,,Personal service setting - floor not maintained in sanitary condition. Reg. Para. 2 of subsec. 8 (1),,Conditional,,43.77406766,7016,2019-10-17T00:00:00,2208385,2906489,4539635,Barbering & Hairdressing,PASS
